ID,PSET,ALT_PRONOUNCE,PRONOUN,VERB,GENDER,SYLLABARY,PRONOUNCE,ENGLISH,INTRO NOTE,END NOTE
,,Hi:yo:lì:gis hiɂa asgaya?; Hi:yo:lì:gisgo hiɂi asgaya?; Hi:yo:lì:gis hiɂi asgaya?,,,,ᎯᏲᎵᎩᏍ ᎯᎠ ᎠᏍᎦᏯ?,Hi:yo:lì:gisgo hiɂa asgaya?,Do you know this man?,,
,,Gǒ:lě:hi ù:dlv́:ga gáɂnakti.,,,,ᎪᎴᎯ ᎤᏢᎦ ᎦᎾᎦᏘ.,Gǒ:lě:hi ù:dlv́:ga agáɂnakti.,The doctor is sick with pneumonia.,,
,,Gǒ:tv̋ naɂv dèginǒ:hlê:sdi.,,,,ᎪᏛ ᎾᎤ ᏕᎩᏃᏞᏍᏗ.,Gǒ:tv̋:ɂi naɂv dèginǒ:hlê:sdi.,We two will be sitting by the fire.,,
,,Ha:dlv hilǒ:hi sda:li̋?,,,,ᎭᏢ ᏫᎦᎶᎯ ᏍᏓᎵᎢ?,Ha:dlv hilǒ:hi sda:li̋:ɂi?,Where did your friend go?,,
,,Dò à:si:ni á:ɂi?,,,,ᎦᏙ ᎠᏏᏂ ᏣᎢ?,Gadò à:si:ni á:ɂi?,Why are you walking backwards?,,
,,Gadō u:sd à:diha?; Dō u:sd à:diha?; Dō u:sd à:di?,,,,ᎦᏙ ᎤᏍᏗ ᎠᏗᎭ?,Gadō u:sdi à:diha?,What is he saying?,,
,,Gő:sdi u:yő:ɂi à:sv̂:ga.; Go:hű:sdi u:yő à:sv̂:ga.; Gő:sdi u:yő à:sv̂:ga.; Go:hű:sd u:yő à:sv̂:ga.; Gő:sd u:yő à:sv̂:ga.,,,,ᎪᏍᏗ ᎤᏲ ᎠᏒᎦ.,Go:hű:sdi u:yő:ɂi à:sv̂:ga.,Something smells bad.,,
,,Gù:gu dè:gwà:yo:dè:sdi gi:hli.,,,,ᎫᎫ ᏕᏆᏲᏕᏍᏗ ᎩᏟ.,Gù:gu dè:gwà:yo:dè:sdi:ha gi:hli.,Ticks are making the dog itch.,,
,,Gu:le dà:nigî:sgó salǒ:li.,,,,ᎫᎴ ᏓᏂᎩᏍᎪᎢ ᏌᎶᎵ.,Gu:le dà:nigî:sgó:ɂi salǒ:li.,Squirrels eat acorns.,,
,,,,,,ᏦᎩ ᏗᏜ ᎢᏁᎾ.,Jo:gi dí:dla i:nè:na.,Let's both go upstream.,,
,,U:tani̋ hiɂi ahnawo.,,,,ᎤᏔᏂ ᎯᎠ ᎠᎿᏬ.,U:tani̋ hiɂa ahnawo.,This shirt is too big.,,
,,,,,,ᎠᏓ ᎤᏪᏘ ᎤᎪᏍᎦ.,Ada uwe̋:ti ù:go:sga.,The old wood is decaying.,,
,,Gadò dù:do u:du:ji?; Dò dù:do u:du:ji?,,,,ᎦᏙ ᏚᏙᎠ ᎤᏚᏥ?,Gadò dù:do:ɂa u:du:ji?,What's his uncle's name?,,
,,,,,,ᎦᎪ Ꮎ ᎤᏛᎯᏍᏗ?,Gá:gō na u:tvhisdi?,Who is the old chap?,,
,,Gv̌:hnáge̋ dagwalé:la à:giha.; Gv̌:hnáge̋ dagwalé:l à:giha.,,,,ᎬᎿᎨ ᏓᏆᎴᎳ ᎠᏆᎴᎳ ᎠᎩᎭ.,Gv̌:hnáge̋:ɂi dagwalé:la à:giha.,I have a black car.,,
,,Hle:kís dagáɂlúhji ù:dv:hné?,,,,ᏞᎩᏍ ᏓᎦᎷᏥ ᎤᏛᏁ?,Hle:kísgo dagáɂlúhji ù:dv:hné:ɂi?,Did he say he was coming soon?,,
,,Goɂi̋ha hawi:ya à:gí.,,,,ᎪᎢᎭ ᎭᏫᏯ ᎠᎩᎠ.,Goɂi̋ha hawi:ya à:gíɂa.,He is eating greasy meat.,,
,,,,,,ᎭᏑᏴᎳ Ꮎ ᎤᎦᎹ.,Hasu:yv̌:la na ǔ:gáma.,Stir the soup.,,
,,,,,,ᎪᏍᏚ ᎯᎳᎩ ᏍᏏᎢ.,Kò:sdu hilagi ó:si̋:ɂi.,Take the ashes out of the stove.,,
,,,,,,ᎠᏲ! ᏙᏌ ᎠᎦᏍᎦᎳ.,Ayo! do:sa à:ksgala.,Ouch! A mosquito bit me.,,
,,,,,,ᎦᏙ ᎤᏍᏗ ᏓᏤᏝ.,Gadō ű:sdi dà:jě:hla?,Which one is better?,,
,,Gá:g v̀:sgina agě:hya?; Gá:gō v̀:sgi agě:hya?; Gá:g v̀:sgi agě:hya?; Gá:gō sgina agě:hya?; Gá:g sgina agě:hya?; Gá:gō nà:sgi agě:hya?; Gá:g nà:sgi agě:hya?,,,,ᎦᎪ ᎥᏍᎩᎾ ᎠᎨᏯ?,Gá:gō v̀:sgina agě:hya?,Who is that woman?,,
,,Ha:dlv iyv̋ ù:dlé:sé?; Ha:dlv̌:yv̋ ù:dlé:sé:ɂi?; Ha:dlv̌:yv̋ ù:dlé:sé?,,,,ᎭᏢ ᎢᏴ ᎤᏞᏎᎢ?,Ha:dlv iyv̋ ù:dlé:sé:ɂi?,Where did he turn off?,,
,,Hiɂi asgaya di:ke̋:wi.; Hiɂa asgay di:ke̋:wi.; Hiɂi asgay di:ke̋:wi.,,,,ᎯᎠ ᎠᏍᎦᏯ ᏗᎨᏫ.,Hiɂa asgaya di:ke̋:wi.,This man is blind.,,
,,Hila̋ iyv̋ da:tsv:hli?; Hila̋ iyv̋:ɂi da:tsv:hli?; Hilâ:yv̋:ɂi da:tsv:hli?; Hilâ:yv̋ da:tsv:hli?,,,,ᎯᎳ ᎢᏴ ᏓᏣᏒᏟ?,Hila̋ iyv̋:ɂi da:tsv:hli?,When are you going to bed?,,
,,Hlas si yǐ:gáɂluhga?,,,,ᏝᏍ Ꮟ ᏱᎦᎷᎦ?,Hlasgo si yǐ:gáɂluhga?,Isn't he back yet?,,
,,Ije̋ ahnawo jiɂnéha.; Ije̋ ahnawo jiɂné.,,,,ᎢᏤ ᎠᎿᏬ ᏥᏁᎭ.,Ije̋:ɂi ahnawo jiɂnéha.,I am holding a new shirt.,,
,,I:sa gv:gǔ:sdí e:ji.,,,,ᎢᏌ ᎬᎫᏍᏗᎭ ᎡᏥ.,I:sa gv:gǔ:sdíha e:ji.,Mother is sifting flour.,,
,,Ké:tv u:kiɂla tawǒ:di.,,,,ᎨᏛ ᎤᎩᎳ ᏔᏬᏗ.,Gé:tvsdi u:kiɂla tawǒ:di.,A hawk is sitting on a post.,,
,,Sě:lu ga̋:du ù:tsdé:sv̌:ɂi.; Sě:lu ga̋:du ù:tsdé:ɂv̌.; Sě:lu ga̋:du ù:tsdé:sv̌.,,,,ᏎᎷ ᎦᏚ ᎤᏥᏍᏕᎥᎢi.,Sě:lu ga̋:du ù:tsdé:ɂv̌:ɂi.,He took a bite of cornbread.,,
,,,,,,ᏒᏙᏂ ᎠᎫᎩᎠ ᎠᎹ.,Sv:do:ni à:kǔ:gíɂa ama.,He's dipping water from a bucket.,,
,,Wě:sa kanè:sá ù:jáa.; Wě:sa kanè:sá ù:já.,,,,ᏪᏌ ᎧᏁᏌᎢ ᎤᏣᎠ.,Wě:sa kanè:sáɂi ù:jáa.,The cat is inside the box.,,
,,Chaně:l áde:lv̋ tiɂvsi.; Chuně:la áde:lv̋:ɂi tiɂvsi.; Chuně:l áde:lv̋ tiɂvsi.,,,,ᏣᏁᎳ ᎠᏕᎸ ᏘᎥᏏ.,Chaně:la áde:lv̋:ɂi tiɂvsi.,Give him eight dollars.,,
,,,,,,ᎦᏙ ᏂᎦ ᏨᏅᎦ?,Gadò niga̋ jv:nv́:ga?,Why are you in such a hurry?,,
,,Nà:hiyű:ɂis kila té:si?; Nà:hiyű:s kila té:si?,,,,ᎾᎯᏳᎢᏍ ᎩᎳ ᏖᏏ?,Nà:hiyű:ɂisgo kila té:si?,You're not going until then?,,
,,Ama à:dlǐ sv:do:ni.,,,,ᎠᎹ ᎠᏟᎭ ᏒᏙᏂᎢ.,Ama à:dlǐ:ha sv:do:ni.,He's drawing water from the barrel.,,
,,Dò a:dvne:hi u:do:da?,,,,ᎦᏙ ᎠᏛᏁᎯ ᎤᏙᏓ?,Gadò a:dvne:hi u:do:da?,What does his father do?,,
,,Dō u:sdi hihǐ:dô?,,,,ᎦᏙ ᎤᏍᏗ ᎯᎯᏙᎭ?,Gadō u:sdi hihǐ:dô:ha?,What do you have in your hand?,,
,,Dō u:sd hò:hlv:sga?,,,,ᎦᏙ ᎤᏍᏗ ᎰᏢᏍᎦ?,Gadō u:sdi hò:hlv:sga?,What are you making?,,
,,Dō u:sdi chv:hnisdíha?; Gadō u:sd chv:hnisdí?; Dō u:sd chv:hnisdí?,,,,ᎦᏙ ᎤᏍᏗ ᏨᏂᏍᏗ?,Gadō u:sdi chv:hnisdíha?,What do you have cooking?,,
,,Gù:gu ù:yó:jv̋ ù:wo:hosa.,,,,ᎫᎫ ᎤᏲᏨ ᎤᏬᎰᏌ.,Gù:gu ù:yó:jv̋:ɂi ù:wo:hosa.,The bottle broke when it dropped.,,
,,Dlv nv:da di:sésdi?,,,,ᎭᏢ ᏅᏓ ᏗᏎᏍᏗ?,Ha:dlv nv:da di:sésdi?,Where is a calender?,,
,,Hiɂi Advji o:gina:li̋:ɂi.; Hiɂa Advji o:gina:li̋.; Hiɂi Advji o:gina:li̋.,,,,ᎯᎠ ᎠᏛᏥ ᎣᎦᎾᎵᎢ.,Hiɂa Advji o:gina:li̋:ɂi.,This German is my friend.,,
,,Hiɂi sǒ:gwíli gà:náɂli.,,,,ᎯᎠ ᏐᏈᎵ ᎦᎾᎵ.,Hiɂa sǒ:gwíli gà:náɂli.,This is a gelding.,,
,,Hi:yo:lì:gas na awi̋:na?,,,,ᎯᏲᎵᎦᏍ Ꮎ ᎠᏫᎾ?,Hi:yo:lì:gasgo na awi̋:na?,Do you recognize that young man?,,
,,Ije̋ à:sano à:gwadu:lí.,,,,ᎢᏤ ᎠᏌᏃ ᎠᏆᏚᎵ.,Ije̋:ɂi à:sano à:gwadu:líha.,I want a new dress.,,
,,Ije̋ à:da:ně:lv̋ ganě:la.,,,,ᎢᏤ ᎠᏓᏁᎸ ᎦᏁᎳ.,Ije̋:ɂi à:da:ně:lv̋:ɂi ganě:la.,He lives in a new house.,,
,,Ǐ:náge̋ à:nè:hó kiyû:ga.,,,,ᎢᎾᎨ ᎠᏁᎰ ᎩᏳᎦ.,Ǐ:náge̋:ɂi à:nè:hó:ɂi kiyû:ga.,Chipmunks live in the woods.,,
,,Do:hiyű ù:hyv:dla dǒ:yi.; Do:yű ù:hyv:dla dǒ:yi.,,,,ᏙᎯᏳ ᎤᏴᏜ ᏙᏱ.,U:do:hiyű ù:hyv:dla dǒ:yi.,It's really cold outside.,,
,,I:sa hwigi diga:dú:hv̋.,,,,ᎢᏌ ᏫᎩ ᏗᎦᏚᎲᎢ.,I:sa hwigi diga:dú:hv̋:ɂi.,Pick up some flour from town.,,
,,Kò:hi̋ jigè:sv̌ jiji:go:hv̌.,,,,ᎪᎯ ᏥᎨᏒ ᏥᏥᎪᎥ.,Kò:hi̋ jigè:sv̌:ɂi jiji:go:hv̌:ɂi.,I saw him a while ago.,,
,,,,,,"ᏙᎯᏊ ᎠᏴ, ᏂᎯᎾ?","Tò:hi̋:gwu ayv, nihina?","It's just fine, and you?",,
,,U:li:hwò:jv̋:s na ǐ:náda?,,,,ᎤᎵᏬᏨᎢᏍ Ꮎ ᎢᎾᏓ?,U:li:hwò:jv̋:ɂisgo na ǐ:náda? U:li:hwò:jv̋:ɂis na ǐ:náda?,Is that snake dead?,,
,,Uwě:j achű:j à:hyóha.,,,,ᎤᏪᏥ ᎠᏧᏣ ᎠᏲᎭ.,Uwě:ji achű:ja à:hyóha.,He's looking for his son.,,
,,Áhni aye̋:hli he:tv̀:ga.,,,,ᎠᎭᏂ ᎠᏰᏟ ᎮᏛᎦ.,Áhani aye̋:hli he:tv̀:ga.,Set the post here in the center.,,
,,,,,,ᎡᎵᏏ ᎠᏒᏃᏱ ᎨᏒᎢ.,E:lí:si Asv:nǒ:yi gè:sv̌:ɂi.,My grandmother was a Nighthawk.,,
,,A:yanű:li á:ɂi u:lò:gí:li.,,,,ᎦᏣᏄᎵ ᎠᎢ ᎤᎶᎩᎵ.,Ga:janű:li á:ɂi u:lò:gí:li.,The clouds are moving fast.,,
,,Gane:ji̋:ɂi ù:wa:hnílv́:ɂi sgwà:tle̋:sdi.; Gane:ji̋ ù:wa:hnílv́ sgwà:hle̋:sdi.; Gane:ji̋ ù:wa:hnílv́ sgwà:tle̋:sdi.,,,,ᎦᏁᏥ ᎤᏩᏂᎸ ᏍᏆᏞᏍᏗ.,Gane:ji̋:ɂi ù:wa:hnílv́:ɂi sgwà:hle̋:sdi.,A ball hit him on his chest.,,
,,Gá:yu:las wijě:dô:la diga:dú:hv̋:ɂi?; Gá:yu:las wijě:dô:la diga:dú:hv̋?,,,,ᎦᏳᎳᏍ ᏫᏤᏙᎳ ᏗᎦᏚᎲᎢ?,Gá:yu:lasgo wijě:dô:la diga:dú:hv̋:ɂi?,Have you already been to town?,,
,,Ha:dlv któ:ɂó akǔ:gi̋:sdi?,,,,ᎭᏢ ᎬᏙᎣ ᎠᎫᎩᏍᏗ?,Ha:dlv któ:ɂó:ɂi akǔ:gi̋:sdi?,Where does the dipper hang?,,
,,Ha:dlv jadé galo:gò:di?,,,,ᎭᏢ ᏣᏕ ᎦᎶᎪᏗ?,Ha:dlv jadé:ɂi galo:gò:di?,Where did you put the hoe?,,
,,,,,,ᎯᎳ ᎢᎦ ᏕᏣᏚᎵᎭ?,Hila̋ ǐ:ga̋ de:jadu:líha?,How many do you want?,,
,,Hi:yo:ligās na asgaya?,,,,ᎯᏲᎵᎦᏍ Ꮎ ᎠᏍᎦᏯ?,Hi:yo:ligāsgo na asgaya?,Did you just now recognize that man?,,
,,Hlè:sdi v̀:sgina yihnà:dv́:ne:hé:sdi.; Hè:sdi v̀:sgi yihnà:dv́:ne:hé:sdi.; Hlè:sdi v̀:sgi yihnà:dv́:ne:hé:sdi.; Hè:sdi sgina yihnà:dv́:ne:hé:sdi.; Hlè:sdi sgina yihnà:dv́:ne:hé:sdi.; Hè:sdi nà:sgi yihnà:dv́:ne:hé:sdi.; Hlè:sdi nà:sgi yihnà:dv́:ne:hé:sdi.,,,,ᏞᏍᏗ ᎥᏍᎩ ᏱᎿᏛᏁᎮᏍᏗ.,Hè:sdi v̀:sgina yihnà:dv́:ne:hé:sdi.,Don't be doing that.,,
,,Hlè:sdi. Do janě:gû:ja.,,,,ᏞᏍᏗ. Ꮩ ᏣᏁᎫᏣ.,Hè:sdi. Do janě:gû:ja.,Quit. You're being too mean.,,
,,Jǒ:lani à:ktiha kilő.,,,,ᏦᎳᏂ ᎠᎦᏘᎭ ᎩᎶᎢ.,Jǒ:lani à:ktiha kilőɂi.,Someone is peeking through the window.,,
,,Uwě:j achű:j à:tawó:ɂa.,,,,ᎤᏪᏥ ᎠᏧᏣ ᎠᏔᏬᎠ.,Uwě:ji achű:ja à:tawó:ɂa.,He's combing his son's hair.,,
,,,,,,ᎠᎨ ᏫᏓᎨᏙᎵ ᏞᎦ.,Á:ge̋ widagě:dô:li hle̋:ga.,I will be around over there for a while.,,
,,Digà:tdi̋ à:gihla ga̋:du.,,,,ᏗᎦᏘᏗ ᏩᎩᏝ ᎦᏚ.,Digà:tdi̋:ɂi à:gihla ga̋:du.,I have bread in the oven.,,
,,Gáɂni ù:wa:hnílv́ ganv:wő:ɂi.; Gáɂni ù:wa:hnílv́ ganv:wő.,,,,ᎦᏂ ᎤᏩᏂᎸ ᎦᏅᏬᎢ.,Gáɂni ù:wa:hnílv́:ɂi ganv:wő:ɂi.,A bullet hit him in his shoulder.,,
,,,,,,ᎩᏝ ᏄᏍᏗ ᏣᏄᏮᎢ.,Giɂhla nű:sdi jahnû:wv̋:ɂi.,There's some loose hair on your shirt.,,
,,,,,,ᎯᎠᎷᎩ Ꮎ ᏓᏆᎴᎳ.,Hiɂalǔ:gi na dagwalé:la.,Flag that car down.,,
,,,,,,ᏅᎩᏁ ᎢᎦ ᎢᎮᏙᎸᎢ.,Nv:gine i:ga íhě:dô:lv:ɂi.,Come back on Thursday.,,
,,Ù:kvháda kò:hi̋ suná:le̋.,,,,ᎤᎬᎭᏓ ᎪᎯ ᏑᎾᎴᎢ.,Ù:kvháda kò:hi̋ suná:le̋:ɂi.,It was foggy this morning.,,
,,Wané:ɂi hlgv̋ galûysga.,,,,ᏩᏁᎢ ᏡᎬᎢ ᎦᎷᏯᏍᎪ.,Wané:ɂi hlgv̋:ɂi galûysga.,He's chopping on a hickory tree.,,
,,,,,,ᎠᎹ ᎤᏗᏔᏍᏗ ᏥᏁᎥᏏ.,Ama u:di:tasdi ji:neɂvsī.,I just gave him water to drink.,,
,,,,,,ᎠᏴ ᏥᎾᏏᏄᎦ ᏞᎦ.,Ayv ji:nà:si:nù:ga hle̋:ga.,Let me drag it for awhile.,,
,,,,,,ᏗᎨᏫ ᎠᏍᎦᏯ ᎠᏘᏂ.,Di:ke̋:wi asgaya à:tíhni.,He's leading a blind man.,,
,,Gadò à:na:dvne ani:yv:wi?; Dò à:na:dvne ani:yv:wi?,,,,ᎦᏙ ᎠᎾᏛᏁ ᎠᏂᏴᏫ?,Gadò à:na:dvne:ha ani:yv:wi?,What are the people doing?,,
,,Dò galsdà asdò:sgi̋?,,,,ᎦᏙ ᎦᎵᏍᏓ ᎠᏍᏙᏍᎩᎢ?,Gadò galsdà asdò:sgi̋:ɂi?,What happened to the crusher?,,
,,Gadò u:dvnelv̌ ù:sdv:dí?; Dò u:dvnelv̌ ù:sdv:dí?,,,,ᎦᏙ ᎤᏛᏁᎸ ᎤᏍᏛᏗᎠ?,Gadò u:dvnelv̌:ɂi ù:sdv:díɂa?,What is he being punished for?,,
,,Gadō u:sdi hà:danhté?; Dō u:sdi hà:danhté?,,,,ᎦᏙ ᎤᏍᏗ ᎭᏓᏅᏖᎭ?,Gadō u:sdi hà:danhtéha?,What are you thinking about?,,
,,Dō u:sd hv:jahlv́sga?,,,,ᎦᏙ ᎤᏍᏗ ᎲᏣᎸᏍᎦ?,Gadō u:sdi hv:jahlv́sga?,What are you frying?,,
,,Gánayè:g ju:lv̌:hwísdà:nehd ǔ:ha.,,,,ᎦᎾᏰᎩ ᏧᎸᏫᏍᏓᏁᏗ ᎤᎭ.,Gánayè:gi ju:lv̌:hwísdà:nehdi ǔ:ha.,He has a dangerous job.,,
,,Gv́:na ganv̀:sge̋ à:sdǐ:gíɂa.,,,,ᎬᎾ ᎦᏅᏍᎨ ᎠᏍᏗᎩᎠ.,Gv́:na ganv̀:sge̋:ni à:sdǐ:gíɂa.,He's eating a turkey leg.,,
,,,,,,ᎭᏢ ᏥᏯ ᎬᏃᏌᏍᏗ?,Ha:dlv jiya gv:no:sásdi?,Where is the broom?,,
,,Ije̋ ù:sǒ:hya̋lv̌ dlo:ge̋:si.,,,,ᎢᏤ ᎤᏐᏯᎸ ᏠᎨᏏ.,Ije̋:ɂi ù:sǒ:hya̋lv̌:ɂi dlo:ge̋:si.,He built a new fence around the garden.,,
,,Ije̋ ahnawo nv́:ne:lv̌.,,,,ᎢᏤ ᎠᎿᏬ ᏥᏅᏁᎸᎢ.,Ije̋:ɂi ahnawo nv́:ne:lv̌:ɂi.,I gave him a new shirt.,,
,,Jǐ:yu ahlawi:di̋:sgi jigòwhti.,,,,ᏥᏳ ᎠᏝᏫᏗᏍᎩ ᏥᎪᏩᏘᎭ.,Jǐ:yu ahlawi:di̋:sgi jigòwhtiha.,I see an airplane.,,
,,Jo di:sdv̌:hahli dù:gv̌.,,,,ᏦᎢ ᏗᏍᏛᎭᏟ ᏚᎬᎢ.,Joɂi di:sdv̌:hahli dù:gv̌:ɂi.,He ate three sandwiches.,,
,,Nv̀:yas u:sdò:sdi jadu:lí?,,,,ᏅᏯᏍ ᎤᏍᏙᏍᏗ ᏣᏚᎵ?,Nv̀:yasgo u:sdò:sdi jadu:líha?,Do you want him to crush some rocks?,,
,,Sv:hi u:ti:yv̌:hnv̋ à:nigíɂa.; Sv:hi u:ti:yv̌:hnv̋ à:nigí.,,,,ᏒᎯ ᎤᏘᏴᏅ ᎠᏂᎩᎠ.,Sv:hi u:ti:yv̌:hnv̋:ɂi à:nigíɂa.,They're eating leftovers from yesterday.,,
,,U:gáhnané:ɂis sv:hi usv̀:ɂi?; U:gáhnanés sv:hi usv̀?,,,,ᎤᎦᎿᏁᎢᏍ ᏒᎯ ᎤᏒᎢ?,U:gáhnané:ɂisgo sv:hi usv̀:ɂi?,Did it rain night before last?,,
,,Ǔ:tan hlgv̋ galûysga.,,,,ᎤᏔᎾ ᏡᎬᎢ ᎦᎷᏯᏍᎦ.,Ǔ:tana hlgv̋:ɂi galûysga.,He is chopping on a big tree.,,
,,Ǔ:tan ǐ:náda à:dansǐ:ni.,,,,ᎤᏔᎾ ᎢᎾᏓ ᎠᏓᎾᏏᏂ.,Ǔ:tana ǐ:náda à:dansǐ:ni.,A big snake is crawling.,,
,,,,,,ᏥᏳᎪᏗ ᏫᎶᎯ.,Aksgani hwilǒ:hi.,Go left.,,
,,,,,,ᏥᏳᎪᏗ ᏫᎶᎯ.,Akti:si hwilǒ:hi.,Go right.,,
