ID,PSET,ALT_PRONOUNCE,PRONOUN,VERB,GENDER,SYLLABARY,PRONOUNCE,ENGLISH,INTRO NOTE,END NOTE
,,U:hyv̋:dlas hihné:gi?,,,,ᎤᏴᏜᏍ ᎯᏁᎩ?,U:hyv̋:dlasgo hihné:gi?,Do you vote Republican?,,
,,,,,,ᎤᏦᏍᏗ ᏚᏬᏪᎳ.,U:jő:sdi dù:wo:hwě:la̋.,His handwriting is confusing.,,
,,Uwe:la gv:hnisdí.,,,,ᎤᏪᎳ ᎬᏂᏍᏗᎭ.,Uwe:la gv:hnisdíha.,He is cooking liver.,,
,,,,,,ᎥᏓᎵ ᎢᎾᏑᏄᎦ.,V:dali ì:nasǔ:hnú:ga.,Let's both go fishing at the pond.,,
,,À:da:ně:lv ga:de:yoha.; À:da:ně:lv̋ ga:de:yo.,,,,ᎠᏓᏁᎸ ᎦᏕᏲᎭ.,À:da:ně:lv̋:ɂi ga:de:yoha.,I am circling a building.,,
,,Amáhldi̋ gà:sgǒ:sga.,,,,ᎠᎹᏢᏗ ᎦᏍᎪᏍᎦ.,Amáhldi̋:ɂi gà:sgǒ:sga.,I am digging a water well.,,
,,Ayv:wi:ya̋ à:je:lv:sga.,,,,ᎠᏴᏫᏯ ᎠᏤᎸᏍᎦ.,Ayv:wi:ya̋:ɂi à:je:lv:sga.,He is acting like an Indian.,,
,,Ha:dlv iyv̋ à:sǔ:hv́sga?; Ha:dlv̌:yv̋ à:sǔ:hv́sga?,,,,ᎭᏢᏴ ᎠᏑᎲᏍᎦ?,Ha:dlv iyv̋:ɂi à:sǔ:hv́sga?,Where is he fishing?,,
,,,,,,ᏥᏳ ᎦᏃᎯᎸᏍᏓ.,Jǐ:yu gano:hǐ:lv̂:sda.,An airplane just flew by.,,
,,,,,,ᏄᎾ ᏘᏯᎨᏗᏌ.,Nǔ:na tihyahkě:tsa.,Peel some potatoes.,,
,,,,,,ᎠᏓᎨᏴᏗ ᎤᎵᏍᎨᏓ.,Ada:geyhdi ulsge̋:da.,Love is important.,,
,,,,,,ᎠᏟᎶᏍᏗ ᎡᏍᎩᏗᏏ,Ahli:lő:sdi e:sgi:dì:si.,Hand me a ruler.,,
,,,,,,ᎭᎵᏌᎳᏛᎦ ᏞᎦ.,Halsaladv̀:ga hle̋:ga.,Raise up awhile.,,
